date,tone_s_x,tone_s_y,tone_i
2005-06-09,29,31,-0.03333333333333333
2005-07-07,39,21,0.3
2005-08-11,28,27,0.01818181818181818
2005-09-08,42,13,0.5272727272727272
2005-10-11,47,12,0.5932203389830508
2005-11-10,31,20,0.21568627450980393
2005-12-08,54,9,0.7142857142857143
2007-06-08,77,10,0.7701149425287356
2008-02-13,4,2,0.3333333333333333
2008-03-07,38,19,0.3333333333333333
2008-04-10,37,9,0.6086956521739131
2008-05-08,25,10,0.42857142857142855
2008-06-12,59,7,0.7878787878787878
2008-07-10,48,18,0.45454545454545453
2008-08-07,50,9,0.6949152542372882
2008-09-11,42,8,0.68
2008-10-09,29,19,0.20833333333333334
2008-11-07,25,29,-0.07407407407407407
2008-12-11,29,21,0.16
2009-01-09,20,23,-0.06976744186046512
2009-03-12,2,2,0.0
2009-07-09,4,2,0.3333333333333333
2009-08-11,3,3,0.0
2009-10-09,3,2,0.2
2009-12-10,2,1,0.3333333333333333
2010-01-08,2,3,-0.2
2010-03-11,4,1,0.6
2010-04-09,1,3,-0.5
2010-05-12,1,4,-0.6
2010-06-10,4,1,0.6
2010-08-12,6,2,0.5
2010-09-09,4,1,0.6
2010-11-16,9,3,0.5
2010-12-09,2,2,0.0
2011-01-13,2,1,0.3333333333333333
2011-03-10,83,11,0.7659574468085106
2011-04-12,48,19,0.43283582089552236
2011-05-13,1,1,0.0
2011-06-10,7,1,0.75
2011-07-14,8,2,0.6
2011-08-11,1,4,-0.6
2011-09-08,5,3,0.25
2011-10-13,3,1,0.5
2011-11-11,4,3,0.14285714285714285
2011-12-08,1,5,-0.6666666666666666
2012-01-13,3,5,-0.25
2012-02-09,2,3,-0.2
2012-03-08,4,2,0.3333333333333333
2012-04-13,5,5,0.0
2012-05-10,3,4,-0.14285714285714285
2012-06-08,5,4,0.1111111111111111
2012-07-12,7,3,0.4
2012-08-09,5,3,0.25
2012-09-13,6,9,-0.2
2012-10-11,6,1,0.7142857142857143
2012-11-09,5,4,0.1111111111111111
2012-12-13,5,5,0.0
2013-01-11,6,3,0.3333333333333333
2013-02-14,9,2,0.6363636363636364
2013-03-14,5,7,-0.16666666666666666
2013-04-11,5,4,0.1111111111111111
2013-05-09,4,4,0.0
2013-06-13,3,10,-0.5384615384615384
2013-07-11,10,2,0.6666666666666666
2013-08-08,12,2,0.7142857142857143
2013-09-12,11,4,0.4666666666666667
2013-10-10,5,6,-0.09090909090909091
2013-11-14,7,7,0.0
2014-01-09,3,6,-0.3333333333333333
2014-02-13,11,8,0.15789473684210525
2014-03-13,5,11,-0.375
2014-04-10,7,10,-0.17647058823529413
2014-05-09,6,10,-0.25
2014-06-12,6,18,-0.5
2014-07-10,13,19,-0.1875
2014-08-14,9,13,-0.18181818181818182
2014-09-12,2,14,-0.75
2014-10-15,6,9,-0.2
2014-11-13,5,9,-0.2857142857142857
2014-12-11,8,7,0.06666666666666667
2015-01-15,7,19,-0.46153846153846156
2015-02-17,8,13,-0.23809523809523808
2015-03-12,8,7,0.06666666666666667
2015-04-09,3,9,-0.5
2015-05-15,9,5,0.2857142857142857
2015-06-11,4,14,-0.5555555555555556
2015-07-09,3,15,-0.6666666666666666
2015-08-13,5,12,-0.4117647058823529
2015-09-11,7,10,-0.17647058823529413
2015-10-15,7,6,0.07692307692307693
2015-11-12,6,3,0.3333333333333333
2015-12-10,11,5,0.375
2016-01-14,12,10,0.09090909090909091
2016-02-16,6,13,-0.3684210526315789
2016-03-10,15,5,0.5
2016-04-19,8,10,-0.1111111111111111
2016-05-13,7,9,-0.125
2016-06-09,10,11,-0.047619047619047616
2016-07-14,7,12,-0.2631578947368421
2016-08-11,3,13,-0.625
2016-09-09,7,13,-0.3
2016-10-13,8,6,0.14285714285714285
2016-11-11,12,13,-0.04
2016-12-15,10,9,0.05263157894736842
2017-01-13,8,7,0.06666666666666667
2017-02-23,6,11,-0.29411764705882354
2017-04-13,8,7,0.06666666666666667
2017-05-25,2,11,-0.6923076923076923
2017-07-13,3,4,-0.14285714285714285
2017-08-31,12,4,0.5
2017-10-19,4,10,-0.42857142857142855
2017-11-30,8,5,0.23076923076923078
